id,created_at,coord,user_name,text
838902014507630592,2017-03-07T00:00:00.961Z,"54.935,-2.73361111",bramptonweather,"Wind 3.2 kts SW. Barometer 1012.16 mb, Rising. Temperature 4.3 °C. Rain today 0.0 mm. Humidity 91%"
838902014482468864,2017-03-07T00:00:00.955Z,"37.47472222,-84.51194444",AppaloosaGuy,"Temp:Crab Orchard, Ky.:63.5°F Wind:3.1mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in.  Forecast: Fairly fine, showery later"
838902014121762816,2017-03-07T00:00:00.869Z,"52.5013,13.2743",mezicom_fairs,Planning a visit to Berlin for #bâballexpo fair in July 2017? Our #Messemuttis have vacancies! https://t.co/DRx6KnRakL
838902014113259520,2017-03-07T00:00:00.867Z,"12.18333333,-68.25",MsChris1221,When this #PrincessCruises ship left port they blasted the 1st few notes of the #LoveBoat theme… https://t.co/jP0ZnTairN
838902014000123905,2017-03-07T00:00:00.840Z,"-31.62805556,-60.69083333",PabloALucero,"Datos actuales en #SantaFe
Barrio Sgto. Cabral:
T: 27.0°C
H: 73%
ST: 29.1°C
P: 1009.4hpa
Lluvia hoy: 0.0mm"
838902013719015425,2017-03-07T00:00:00.773Z,"40.8204982,-80.3955655",rudeweatherbot,"Weather for Big Beaver (USA)

☔ Rain
🌡 9°C | 48°F
💨 23 km/h | 14 mi/h
🌅 6:48 am 🌆 6:18 pm"
838902013303803904,2017-03-07T00:00:00.674Z,"52.5161,13.377",trendinaliaDE,"⒈ #hartaberfair
⒉ #EBSVfB
⒊ #GoodbyeDeutschland
⒋ #traumfraugesucht
⒌ #FENTYxPUMA

2017/3/7 00:55 CET #trndnl https://t.co/p8qpEIM5hj"
838902012959944704,2017-03-07T00:00:00.592Z,"35.24527778,-96.68777778",seminoleokwethr,Tmp 77.9F Wd 14.0 SSE Gst 21.0 Bar 29.734 Falling Wd Chl 77.9F Prec 0.03
838902012536307717,2017-03-07T00:00:00.491Z,"52.5013,13.2743",mezicom,Planning a visit to Berlin for #you fair in July 2017? Our #Messemuttis have vacancies! https://t.co/05308CVKmO
838902012032868352,2017-03-07T00:00:00.371Z,"18.4867,-69.9405",trendinaliaDO,"⒍ #PlatanoPower
⒎ ProCompetencia
⒏ José Francisco Peña Gómez
⒐ #wbc2017
⒑ #NoticiasSIN

2017/3/6 19:55 AST https://t.co/b28Rg0WjMN"
838902011743592449,2017-03-07T00:00:00.302Z,"-20.88444533,-79.44131023",googuns_lulz,b0a3dfdac6b39c7b75b35620f8e59377dbb76b916633b3b61a17630a8436c81fcc4955a5b0f082fad170f33e493fa15efc2cb1d8a995291b8541292411f8010a2484b6000000
838902011584184321,2017-03-07T00:00:00.264Z,"50.08063,8.6780768",dasauge_jobs,Projektmanager (m/w) für nachhaltige Agenturkunden in #Frankfurt (Fest) #Designerdock #dasauge #jobs → https://t.co/VCtYCtA95O
838902011034746880,2017-03-07T00:00:00.133Z,"52.481388,13.435",rh_neukoelln,schnarch
